"Index","Symbol","Last","High","Low","Chg.","Chg. %","Time"
"Dow Jones Industrial Average","DJI","33,375.49","33,381.95","32,948.93","330.93","1.00%","20/01"
"S&P 500","US500","3,972.61","3,972.96","3,897.86","73.76","1.89%","20/01"
"NASDAQ Composite","IXIC","11,140.43","11,143.17","10,885.64","288.17","2.66%","20/01"
"US Small Cap 2000","US2000","1,867.34","1,867.34","1,836.63","30.99","1.69%","20/01"
"CBOE Volatility Index","VIX","19.85","20.70","19.41","0.00","0.00%","20/01"
"S&P/TSX Composite","GSPTSE","20,503.21","20,517.09","20,287.31","161.77","0.80%","20/01"
"Bovespa","BVSP","112,041.00","113,025.00","111,735.00","-881","-0.78%","20/01"
"S&P/BMV IPC","MXX","53,947.04","54,112.36","53,201.68","564.39","1.06%","20/01"
"DAX","DE40","15,033.56","15,034.43","14,940.68","113.20","0.76%","20/01"
"FTSE 100","UK100","7,770.59","7,790.87","7,747.29","23.30","0.30%","20/01"
"CAC 40","FCHI","6,995.99","7,015.96","6,965.45","44.12","0.63%","20/01"
"Euro Stoxx 50","STOXX50","4,119.90","4,126.17","4,100.17","25.62","0.63%","20/01"
"AEX","AEX","738.64","739.05","735.34","2.96","0.40%","20/01"
"IBEX 35","ES35","8,918.20","8,918.20","8,828.90","125.10","1.42%","20/01"
"FTSE MIB","IT40","25,775.52","25,833.94","25,690.15","179.24","0.70%","20/01"
"SMI","SWI20","11,295.02","11,320.38","11,274.43","36.05","0.32%","20/01"
"PSI","PSI20","5,913.81","5,916.68","5,886.58","51.49","0.88%","20/01"
"BEL 20","BFX","3,861.45","3,883.07","3,860.64","12.13","0.32%","20/01"
"ATX","ATX","3,297.54","3,305.63","3,279.45","17.76","0.54%","20/01"
"OMX Stockholm 30","OMXS30","2,197.42","2,197.73","2,179.00","23.53","1.08%","20/01"
"OMX Copenhagen 25","OMXC25CAP","1,722.86","1,727.79","1,715.59","-0.83","-0.05%","20/01"
"MOEX Russia","IMOEX","2,166.69","2,173.71","2,154.37","-2.14","-0.10%","20/01"
"RTSI","IRTS","991.88","996.52","987.81","-1.20","-0.12%","20/01"
"WIG20","WIG20","1,892.32","1,901.03","1,879.51","2.48","0.13%","20/01"
"Budapest SE","BUX","46,440.14","46,794.98","46,275.12","-251.66","-0.54%","20/01"
"BIST 100","XU100","5,490.34","5,507.71","5,426.58","67.97","1.25%","20/01"
"TA 35","TA35","1,831.38","1,845.80","1,828.01","0.71","0.04%","08:49:44"
"Tadawul All Share","TASI","10,724.62","10,748.39","10,701.53","42.61","0.40%","07:20:00"
"Nikkei 225","JP225","26,553.53","26,553.53","26,320.96","148.30","0.56%","20/01"
"S&P/ASX 200","AXJO","7,452.20","7,457.80","7,427.30","16.90","0.23%","20/01"
"Dow Jones New Zealand","NZDOW","317.68","319.03","315.04","1.93","0.61%","20/01"
"Shanghai Composite","SSEC","3,264.81","3,267.06","3,247.20","24.53","0.76%","20/01"
"SZSE Component","SZI","11,980.62","11,997.53","11,931.88","67.36","0.56%","20/01"
"FTSE China A50","FTXIN9","13,958.40","14,027.34","13,906.53","51.87","0.37%","20/01"
"Dow Jones Shanghai","DJSH","473.51","473.89","470.04","3.47","0.74%","20/01"
"Hang Seng","HK50","22,044.65","22,047.56","21,650.98","393.67","1.82%","20/01"
"Taiwan Weighted","TWII","14,932.93","14,945.23","14,884.78","5.92","0.04%","17/01"
"SET Index","SETI","1,677.25","1,688.59","1,672.49","-11.23","-0.67%","20/01"
"KOSPI","KS11","2,395.26","2,395.97","2,372.57","14.92","0.63%","20/01"
"Jakarta Stock Exchange Composite Index","JKSE","6,874.93","6,874.93","6,819.53","55.02","0.81%","20/01"
"Nifty 50","NSEI","18,027.65","18,145.45","18,016.20","-80.20","-0.44%","20/01"
"BSE Sensex 30","BSESN","60,621.77","61,001.18","60,585.25","-236.66","-0.39%","20/01"
"PSEi Composite","PSI","7,056.62","7,063.50","7,035.65","-5.39","-0.08%","20/01"
"Karachi 100","KSE","38,407.98","38,982.16","38,291.70","-423.60","-1.09%","20/01"
"VN 30","VNI30","1,121.92","1,126.12","1,108.96","0.00","0.00%","19/01"
"CSE All-Share","CSE","8,718.15","8,738.16","8,484.92","159.40","1.86%","20/01"
